dataset,fold,candidate,baseline,baseline_model,candidate_wape,baseline_wape,wape_point_improvement,wape_point_CI_low,wape_point_CI_high,relative_improvement_percent
Abilene,1,SCALE-TM neural ensemble,Best single non-ensemble,N-HiTS-Small,16.55278205871582,16.83687973022461,0.28409757096669647,-0.4069225795815568,0.8029380374550544,1.6873528558661655
Abilene,1,SCALE-TM neural ensemble,Persistence,Persistence,16.55278205871582,17.8961124420166,1.3433296753129886,0.8715238249756231,1.9317785287918408,7.506265283398148
Abilene,1,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,16.55278205871582,16.989582061767578,0.4368011512111175,0.11409176641624832,0.7981681039441134,2.5709940928686574
Abilene,1,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,16.55278205871582,16.83687973022461,0.28409757096669647,-0.31299042805912075,0.7932382097109978,1.6873528558661655
Abilene,1,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,16.55278205871582,16.910968780517578,0.3581872693507177,0.07198939920765975,0.6630327409741232,2.1180765809429576
Abilene,1,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,16.55278205871582,16.678733825683594,0.12595144969211824,0.08316379910657758,0.1678787122939518,0.7551619386009117
Abilene,1,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,16.55278205871582,16.507164001464844,-0.04561758993676802,-0.2959510422291553,0.22990242768090086,-0.27635025575998345
Abilene,2,SCALE-TM neural ensemble,Best single non-ensemble,DLinear,14.658202171325684,15.078189849853516,0.4199875406563002,0.27440037883438245,0.5723844561577335,2.785397616282039
Abilene,2,SCALE-TM neural ensemble,Persistence,Persistence,14.658202171325684,15.712981224060059,1.0547787967323596,0.6907009142875996,1.3907661931266742,6.712785955075535
Abilene,2,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,14.658202171325684,15.0802583694458,0.42205596966489517,0.3132505028035717,0.5250099608204123,2.7987316883112907
Abilene,2,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,14.658202171325684,15.310354232788086,0.6521518295594495,0.48682979159677153,0.7894635445288994,4.259547621457545
Abilene,2,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,14.658202171325684,15.630533218383789,0.9723298790517518,0.7192476440877007,1.295274058957494,6.220708311525482
Abilene,2,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,14.658202171325684,14.658202171325684,0.0,0.0,0.0,0.0
Abilene,2,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,14.658202171325684,14.710272789001465,0.052070760978645464,-0.06199609808458549,0.1611251522390278,0.3539754953937876
Abilene,3,SCALE-TM neural ensemble,Best single non-ensemble,N-BEATS-Small,14.366990089416504,14.352165222167969,-0.014825977691141653,-0.12420385162001948,0.06920952184356727,-0.10330133092560727
Abilene,3,SCALE-TM neural ensemble,Persistence,Persistence,14.366990089416504,16.527631759643555,2.1606403477579876,1.849840112904668,2.627788915005379,13.072897431280776
Abilene,3,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,14.366990089416504,14.352165222167969,-0.014825977691141653,-0.12108489209507983,0.07253219490118501,-0.10330133092560727
Abilene,3,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,14.366990089416504,14.44282054901123,0.07582973067111387,-0.015239264894128818,0.14827328684414845,0.5250340846774922
Abilene,3,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,14.366990089416504,16.064682006835938,1.6976920722018458,1.3566326918857787,2.0974991525156303,10.567853577677006
Abilene,3,SCALE-TM neural ensemble,SCALE-TM no-WRTCN ensemble,SCALE-TM no-WRTCN ensemble,14.366990089416504,14.366990089416504,0.0,0.0,0.0,0.0
Abilene,3,SCALE-TM neural ensemble,Uniform candidate ensemble,Uniform candidate ensemble,14.366990089416504,14.701997756958008,0.3350092215371235,0.21502439834795203,0.5017757145725373,2.278664621470057
CERNET,1,SCALE-TM neural ensemble,Best single non-ensemble,N-BEATS-Small,14.231197357177734,14.864436149597168,0.6332383194101917,-0.3104835967618675,1.66789929352261,4.260089740621293
CERNET,1,SCALE-TM neural ensemble,Persistence,Persistence,14.231197357177734,15.32401180267334,1.0928144188361133,0.3148469014519974,2.0458142464956093,7.131385911915489
CERNET,1,SCALE-TM neural ensemble,N-BEATS-Small,N-BEATS-Small,14.231197357177734,14.864436149597168,0.6332383194101917,-0.3637548171275858,1.5609531513370583,4.260089740621293
CERNET,1,SCALE-TM neural ensemble,N-HiTS-Small,N-HiTS-Small,14.231197357177734,15.688726425170898,1.4575294676902417,0.44455519410732564,2.9366000960961136,9.290298193687603
CERNET,1,SCALE-TM neural ensemble,All-flow WRTCN,All-flow WRTCN,14.231197357177734,17.233291625976562,3.0020943952852175,1.4653992353599448,5.002391880539423,17.420319115124922
