MAE,RMSE,WAPE,sMAPE,horizon,model
14563.103515625,101544.5,10.271469116210938,8.426130294799805,1,Persistence
19201.259765625,129943.8359375,13.599384307861328,10.666849136352539,2,Persistence
22013.849609375,125511.1875,15.369488716125488,12.140509605407715,3,Persistence
22015.53125,138426.234375,15.51823902130127,12.115803718566895,4,Persistence
24056.0234375,157783.078125,17.025693893432617,12.986491203308105,5,Persistence
25039.025390625,144461.5625,17.470232009887695,13.593855857849121,6,Persistence
25314.49609375,159659.8125,17.831104278564453,13.256195068359375,7,Persistence
26998.689453125,174344.328125,19.0977840423584,13.96331787109375,8,Persistence
29072.306640625,178439.328125,20.272462844848633,14.830042839050293,9,Persistence
29067.97265625,197392.53125,20.462581634521484,14.42754077911377,10,Persistence
29546.38671875,194703.28125,20.887657165527344,14.993821144104004,11,Persistence
28885.359375,191269.71875,20.12916374206543,14.6071195602417,12,Persistence
42675.79296875,230171.75,30.099567413330078,23.668508529663086,1,Seasonal naive
41331.79296875,213065.75,29.2734375,23.395977020263672,2,Seasonal naive
43015.21484375,222042.09375,30.032089233398438,23.90265655517578,3,Seasonal naive
42683.37890625,230172.15625,30.086528778076172,23.66983985900879,4,Seasonal naive
41346.3203125,213066.90625,29.2629337310791,23.397720336914062,5,Seasonal naive
43018.921875,222041.3125,30.015165328979492,23.90812110900879,6,Seasonal naive
42686.328125,230171.8125,30.067529678344727,23.66478729248047,7,Seasonal naive
41354.078125,213067.5625,29.25220489501953,23.392724990844727,8,Seasonal naive
43032.07421875,222043.1875,30.006772994995117,23.89963722229004,9,Seasonal naive
42707.4609375,230174.65625,30.064184188842773,23.665407180786133,10,Seasonal naive
41370.06640625,213071.15625,29.24634552001953,23.39120864868164,11,Seasonal naive
43045.40234375,222047.046875,29.99678611755371,23.88897705078125,12,Seasonal naive
14378.669921875,113412.7265625,10.141387939453125,8.122849464416504,1,Damped persistence
18853.83203125,134326.921875,13.353316307067871,10.315946578979492,2,Damped persistence
21176.869140625,125611.6328125,14.785131454467773,11.662310600280762,3,Damped persistence
20909.095703125,134016.40625,14.738337516784668,11.690022468566895,4,Damped persistence
23107.677734375,153587.734375,16.354501724243164,12.533305168151855,5,Damped persistence
24299.880859375,142070.296875,16.954513549804688,13.203629493713379,6,Damped persistence
24387.943359375,158330.34375,17.178457260131836,12.823770523071289,7,Damped persistence
26243.509765625,172263.484375,18.563600540161133,13.572408676147461,8,Damped persistence
28199.0,175354.765625,19.663496017456055,14.436369895935059,9,Damped persistence
28125.01953125,193586.859375,19.798784255981445,14.006653785705566,10,Damped persistence
28304.0390625,188456.078125,20.009387969970703,14.443583488464355,11,Damped persistence
28515.11328125,189032.5,19.871150970458984,14.540274620056152,12,Damped persistence
15817.400390625,110792.8203125,11.156134605407715,9.677586555480957,1,Ridge lags
18338.080078125,130021.1328125,12.988032341003418,11.01482105255127,2,Ridge lags
20805.970703125,125364.015625,14.526179313659668,12.208325386047363,3,Ridge lags
